,title,subtitle,link
0,ARMBAND OF BROTHERS,England team rally round devastated skipper Kane after penalty miss,https://www.thesun.co.uk/sport/20717463/harry-kane-consoled-england-france-world-cup-crying/
1,OUT OF GAZ?,Gareth Southgate breaks silence on his future as England boss after France loss,https://www.thesun.co.uk/sport/20718051/gareth-southgate-england-2022-world-cup-france/
2,HARRY'S ANGUISH,Kane breaks silence over missed penalty as England crash out of World Cup,https://www.thesun.co.uk/sport/20719079/harry-kane-responsibility-england-world-cup-france-penalty/
3,SPOT ON,Watch heartwarming moment Bellingham sprinted to console Kane after penalty miss,https://www.thesun.co.uk/sport/20719016/watch-bellingham-console-kane-england-world-cup-penalty-miss/
4,JUST REF OFF,Neville slams referee for performance in England's World Cup loss to France,https://www.thesun.co.uk/sport/20717755/referee-gary-neville-england-world-cup-france/
5,PICK & MIX,Pickford ushers camera operator away from Kane after England's World Cup exit,https://www.thesun.co.uk/sport/20717700/harry-kane-england-penalty-jordan-pickford-cameraman-angry-reaction/
6,'ITV CURSE',Fans say the same thing as England go out of World Cup in France loss on ITV,https://www.thesun.co.uk/sport/20717702/fans-say-itv-curse-england-france-world-cup-bbc/
7,'READ THE ROOM',Arsenal tweet after England's loss to France sparks furious fan backlash,https://www.thesun.co.uk/sport/20718011/arsenal-twitter-england-france-william-saliba/
8,OUI WOZ ROBBED,England fans fuming after Kane denied penalty vs France despite VAR review,https://www.thesun.co.uk/sport/20716405/england-harry-kane-penalty-var-france-world-cup/
9,MAC IS BACK,Fans react to 'Steve McClaren' supporter going wild during England vs France,https://www.thesun.co.uk/sport/20717384/steve-mcclaren-england-world-cup-france/
10,LIONS RAGING,England vs France World Cup referee's Wikipedia page changed as fans rage,https://www.thesun.co.uk/sport/20716748/england-vs-france-world-cup-saka-england/
11,TRUE LION,Harry Kane still an England great despite World Cup penalty miss against France,https://www.thesun.co.uk/sport/20717811/harry-kane-england-2022-world-cup-france/
12,ENGLAND RATINGS,Saka shines but Shaw exposed as World Cup dream ends in heartache vs France,https://www.thesun.co.uk/sport/20717133/england-ratings-france-world-cup-kane-shaw-saka/
13,WHERE IT WENT RON,Ronaldo's shocking stats revealed from Portugal's loss to Morocco,https://www.thesun.co.uk/sport/20716470/cristiano-ronaldo-stats-portugal-world-cup/
14,'SHOULD BE MORE GENEROUS',Roy Keane teases Jordan Henderson for making him pay for brekkie,https://www.thesun.co.uk/sport/20716859/roy-keane-jordan-henderson-breakfast-england-liverpool-sunderland/
15,ALARM BELL,Fans say same thing at Bellingham's reaction to Hernandez NOT being sent off,https://www.thesun.co.uk/sport/20717267/jude-bellingham-theo-hernandez-sent-off/
16,REFFIN' HELL,Maguire slams ref for World Cup KO & 'incredible amount of wrong decisions',https://www.thesun.co.uk/sport/20718150/england-harry-maguire-world-cup-referee/
17,'NASTY',England fans left seething at Mbappe’s reaction to Kane’s penalty miss vs France,https://www.thesun.co.uk/sport/20717525/england-penalty-mbappe-kane-world-cup-france/
18,KEANE VIEWER,Roy Keane splits fans as he criticises Jordan Pickford for France's goal,https://www.thesun.co.uk/sport/20716801/roy-keane-jordan-pickford-france-world-cup-england/
19,'IT'S VERY STRANGE',Bruno Fernandes told to stop whinging after astonishing referee rant,https://www.thesun.co.uk/sport/20719416/bruno-fernandes-referee-portugal-exit-world-cup/
20,PROMOTION,Best Christmas casino bonuses in the UK 2022,https://www.thesun.co.uk/betting/20653836/christmas-casino-bonuses/
21,'A JOKE',Angry England fans convinced France goal shouldn't count after foul in build-up,https://www.thesun.co.uk/sport/20716485/fuming-england-fans-france-goal-saka-foul/
22,BOXING DAY BONUS,Free bets: Get £30 bonus plus £10 on Boxing Day when you join 888Sport,https://www.thesun.co.uk/sport/20693698/888sport-free-bets-bonus-sign-up-register/
23,I'M ALL WHITE NOW,Ben White joins up with Arsenal in Dubai on day of England World Cup exit,https://www.thesun.co.uk/sport/20719161/ben-white-arsenal-dubai-training-england/
24,LONG CRIS GOODNIGHT,Steward grabs pitch invader near Ronaldo after Portugal's World Cup KO,https://www.thesun.co.uk/sport/20715026/cristiano-ronaldo-pitch-invader-crying-portugal-morocco-world-cup/
25,PEP TALK,Bruno Fernandes and Pepe face ban for slamming referee after Portugal vs Morocco,https://www.thesun.co.uk/sport/20715189/pepe-argentina-morocco-portugal-world-cup/
26,REGRET-ME-NOT,Portugal boss Santos has NO REGRETS over Ronaldo snub after World Cup defeat,https://www.thesun.co.uk/sport/20716620/santos-defends-ronaldo-bench-portugal-defeat-morocco-world-cup/
27,YOU CAN'T MAKE IT UP,Brazil fan goes viral as she uses man's phone to do make-up at match,https://www.thesun.co.uk/sport/20715528/best-thing-at-the-world-cup-so-far-brazil/
28,RON MOVE,Fan THROWN OUT of Morocco vs Portugal for chucking water at Cristiano Ronaldo,https://www.thesun.co.uk/sport/20714354/morocco-portugal-world-cup-cristiano-ronaldo/
29,BOO-HOO RON RON,Crying Ronaldo storms down tunnel as Portugal are knocked out of World Cup,https://www.thesun.co.uk/sport/20714555/cristiano-ronaldo-tears-tunnel-portugal-world-cup/
30,WON THE LAUT-ERY,Martinez's wag stuns in crop-top as Argentina star scores winning pen,https://www.thesun.co.uk/sport/20715469/martinez-wag-agustina-gandolfo-crop-top-argentina-world-cup/
31,BETIS 1 MAN UTD 0,Ten Hag loses second game in a row as stars struggle in World Cup tour,https://www.thesun.co.uk/sport/20716140/man-utd-real-betis-friendly-result-match-report/
32,PAIN IN SPAIN,Man Utd ace Teden Mengi taken off on stretcher after nasty injury vs Betis,https://www.thesun.co.uk/sport/20715229/teden-mengi-man-united-real-betis/
33,DALOT BLOW,Man Utd fans devastated as Dalot limps off injured in Portugal World Cup clash,https://www.thesun.co.uk/sport/20714665/man-utd-react-dalot-injury-portugal-morocco/
34,RONALD'OH,Ronaldo snubbed by clubs in summer despite being available for just £80k-a-week,https://www.thesun.co.uk/sport/20713426/cristiano-ronaldo-transfer-man-utd-wages-offer-rejected/
35,GOR DROPPING,Georgina Rodriguez watches as Ronaldo leaves pitch in tears after World Cup KO,https://www.thesun.co.uk/sport/20713720/georgina-rodriguez-cristiano-ronaldo-portugal-world-cup-3/
36,STARK WARNING,'World Cup's hottest fan' Ivana Knoll issues warning if Croatia win World Cup,https://www.thesun.co.uk/sport/20713108/world-cup-hottest-fan-ivana-knoll-warning-croatia-qatar/
37,'NEED ANSWERS',Reporter's brother says he was KILLED in Qatar after rainbow T-shirt protest,https://www.thesun.co.uk/sport/20711610/grant-wahl-dead-brother-claims-killed-detained-qatar/
38,'GO FOR IT,Barcelona close to N'Golo Kante transfer from Chelsea ahead of January market,https://www.thesun.co.uk/sport/20714223/barcelona-ngolo-kante-chelsea-transfer-news/
39,'FEELING IT TODAY',Keane hurts knees jumping in BIN in celebration after scoring for ITV,https://www.thesun.co.uk/sport/20715934/man-utd-roy-keane-goal-celebration-bin-itv-video/
40,PEN PALS,Neville reveals what Keane wrote after England goal leaving Richards in stitches,https://www.thesun.co.uk/sport/20711570/neville-reveals-keane-wrote-england-goal-world-cup/
41,'SEASON'S OVER',Neuer breaks leg skiing as he tries to get over Germany World Cup heartache,https://www.thesun.co.uk/sport/20712355/neuer-break-leg-days-after-world-cup/
42,KARREN BRADY,Mike Ashley usually gets what he wants... a move for Coventry would make sense,https://www.thesun.co.uk/sport/20710724/karren-brady-mike-ashley-newcastle-coventry/
43,NEY MORE?,Heartbroken Neymar reveals he may not play another World Cup as Pele pays tribute,https://www.thesun.co.uk/sport/20711758/neymar-retirement-doubt-pele-tribute-world-cup/
44,BES FORGET ABOUT IT,Dele Alli misses penalty for Besiktas in mid-season friendly clash,https://www.thesun.co.uk/sport/20706806/dele-alli-miss-penalty-besiktas/
45,TITE CALL,Brazil manager Tite confirms he will stand down after Croatia World Cup loss,https://www.thesun.co.uk/sport/20709001/brazil-tite-croatia-world-cup/
46,LUQUE BREAK,Spain announce Newcastle flop Albert Luque will become sporting director,https://www.thesun.co.uk/sport/20703568/spain-albert-luque-sporting-director-world-cup/
47,ROBERTO TO THE RESCUE,Martinez lined up for swift return to management after Belgium exit,https://www.thesun.co.uk/sport/20705616/roberto-martinez-return-mexico-belgium-exit/
48,MOR TO COME,Ambitious Morocco boss Regragui says his country wants to WIN World Cup,https://www.thesun.co.uk/sport/20706604/ambitious-morocco-manager-win-world-cup-african-team/
49,IT'S SCOTT ON,Alex Scott reveals hilarious theory on Brazil struggles with dig at Roy Keane,https://www.thesun.co.uk/sport/20707548/scott-theory-brazil-struggles-croatia-keane-samba/
50,NIGHT-MAR,Argentina keeper Martinez faces World Cup BAN for slamming 'worst ref in world',https://www.thesun.co.uk/sport/20713254/argentina-keeper-emiliano-martinez-faces-world-cup-ban-referee/
51,STRICT BUDGET,Embarrassed Roy Keane admits credit card was rejected TWICE in Qatar,https://www.thesun.co.uk/sport/20709448/roy-keane-credit-card-qatar-itv-world-cup-neville/
52,STERLING WORK,Southgate confirms Sterling WILL be involved for England against France,https://www.thesun.co.uk/sport/20706971/sterling-involved-england-france-world-cup/
53,CARR BLIMEY,Carragher names only THREE England stars who’d get into France XI,https://www.thesun.co.uk/sport/20708571/carragher-england-france-walker-mbappe/
54,RECORD BREAKER,Alan Ball’s World Cup winner’s medal sells for record sum at auction,https://www.thesun.co.uk/sport/20710576/alan-ball-world-cup-medal-auction/
55,ALL GOING RON,Ronaldo causing more unrest in Portugal camp by bringing in personal manager,https://www.thesun.co.uk/sport/20701232/cristiano-ronaldo-unrest-in-portugal-world-cup-squad/
56,SUPER MARIO,Gotze's bikini-wearing model wife helps him get over World Cup heartbreak,https://www.thesun.co.uk/sport/20689540/mario-gotze-model-wife-tiny-bikini-world-cup/
57,QATAR HERO,"Everything you need to know about Dream Team World Cup - £50,000 to be won!",https://www.thesun.co.uk/sport/football/dream-team/20302461/world-cup-fantasy-football-game-free-qatar-2022/
58,TOSS UP,DT World Cup's irresistible force meets immovable object when Mbappe faces England,https://www.thesun.co.uk/sport/football/dream-team/20658518/world-cup-irresistible-force-immovable-object-mbappe-england/
59,CRYSTAL BALL,Using Dream Team points to predict all four World Cup quarter-final results,https://www.thesun.co.uk/sport/football/dream-team/20702162/fantasy-football-points-world-cup-quarter-final-results/
60,LU-KING GOOD,Ex-Chelsea and Arsenal ace David Luiz shows off new hairdo and shredded body,https://www.thesun.co.uk/sport/20705246/david-luiz-chelsea-arsenal-world-cup/
61,TAKES THE KAYK,Manchester City RECALL wonderkid Kayky from Pacos de Ferreira loan stint,https://www.thesun.co.uk/sport/20713659/manchester-city-kayky-pacos-de-ferreira-pep-guardiola/
62,DJED CERT,Tottenham fans all say the same thing as Spence shines against Motherwell,https://www.thesun.co.uk/sport/20705273/tottenham-fans-djed-spence-motherwell/
63,DIA-BOLICAL NEWS,Liverpool ace Diaz forced to leave training camp after injury setback,https://www.thesun.co.uk/sport/20703997/luis-diaz-liverpool-injury-setback-winter-training-camp/
64,'NICE CATCHING UP',Ex-Liverpool star looks unrecognisable as Gerrard posts pic with old pal,https://www.thesun.co.uk/sport/20687507/liverpool-unrecognisable-steven-gerrard-pic/
65,UNITED LATEST,Red Devils fall to consecutive defeats in Real Betis loss as Mengi injured,https://www.thesun.co.uk/sport/20358231/man-utd-news-live-real-betis-donny-van-de-beek-teden-mengi/
66,GHOST GOAL,Newcastle were so bad under Ardiles they were losing 1-0 against NOBODY,https://www.thesun.co.uk/sport/20702070/newcastle-losing-nobody-ossie-ardiles-premier-league/
67,MONEY MAKER,Ben Foster reveals how much he earned from his first-ever Man Utd contract,https://www.thesun.co.uk/sport/20699316/ben-foster-reveals-salary-first-man-utd-contract/
68,BIG OFFER,Betfair offer: Stake £10 on the World Cup to get £30 in free bets -18+ T&Cs apply,https://www.thesun.co.uk/sport/betting-tips/19802970/betfair-free-bets-sign-up-bonus-world-cup/
69,HUGE OFFER,World Cup offer: Get £40 in free bets & bonuses when staking £10 with 888Sport,https://www.thesun.co.uk/sport/20469558/world-cup-offer-bonuses-free-bets-888sport/
70,WELCOME,World Cup: Get £20 in free bets with Virgin Bet when you bet £10 on football,https://www.thesun.co.uk/sport/betting-tips/19555308/world-cup-football-betting-offer-free-bets-virgin/
71,GUNNERS LIVE,"Ben White's England 'bust-up', Arteta hints at Gabriel Jesus replacement",https://www.thesun.co.uk/sport/20437899/arsenal-news-live-white-england-arteta-gabriel-jesus-chelsea-pepe/
72,TRANSFER LATEST,"PSG president rules out Ronaldo, Liverpool FAVOURITES to sign Bellingham",https://www.thesun.co.uk/sport/20652713/transfer-news-live-psg-ronaldo-liverpool-bellingham-tottenham-amrabat/
73,GARNA GO,"Real Madrid mull transfer bid for Garnacho, with Man Utd star ‘liking’ Spain idea",https://www.thesun.co.uk/sport/20696604/real-madrid-transfer-alejandro-garnacho-manchester-united-deal-spain/
74,RING THE BELL,Bellingham ‘to tell Dortmund he QUITS as family beg him to join Liverpool',https://www.thesun.co.uk/sport/20696852/england-world-cup-bellingham-dortmund-transfer-january-liverpool/
75,LIKE YOU A LOT,Man Utd 'to push new Dalot contract and will hold talks after World Cup',https://www.thesun.co.uk/sport/20704742/man-utd-dalot-contract-talks-after-world-cup/
76,SMALL FRY,Inter Milan 'keen on Smalling' as ex-Man Utd star nears end of Roma contract,https://www.thesun.co.uk/sport/20705490/chris-smalling-inter-milan-roma-free-transfer-man-utd/
77,GUNNER SIGN,Arsenal 'reach agreement to sign Frankfurt defender Ndicka on free transfer',https://www.thesun.co.uk/sport/20705235/arsenal-frankfurt-ndicka-free-transfer/
78,USA DREAM,Hazard 'tempted by MLS transfer as ex-Chelsea star considers Real Madrid exit',https://www.thesun.co.uk/sport/20713765/eden-hazard-mls-transfer-belgium-retirement-world-cup/
79,TONY ADAMS,England vs France quarter-final is battle of full-backs.. and ours are better,https://www.thesun.co.uk/sport/20685408/england-france-world-cup-mbappe/
80,DAVE KIDD,"Even if we lose to France, Southgate has stopped England descending into farce",https://www.thesun.co.uk/sport/20661782/france-southgate-england/
81,JACK WILSHERE,"England must beware Giroud, he's good looking, fit and the most under-rated",https://www.thesun.co.uk/sport/20697623/giroud-wilshere-england-france-world-cup-warning/
82,FEELING COSY,Guardiola's daughter Maria wraps up in winter gear as she heads out for coffee,https://www.thesun.co.uk/sport/20700465/pep-guardiolas-daughter-maria-wraps-up-in-winter-coat/
83,NO HARM,"Families take pics with me in my hot outfits, ‘World Cup’s sexiest fan’ tells Piers",https://www.thesun.co.uk/sport/20676503/world-cup-hottest-fan-ivana-knoll-croatia-piers-morgan/
84,NATURAL WANDA,Wanda stuns fans in bikini as Mauro Icardi's glamorous Wag ditches make-up,https://www.thesun.co.uk/sport/20703944/wanda-nara-busty-bikini-makeup-free-instagram-mauro-icardi/
