,Date,News,Link
0,2022-12-08,Introducing a New Sliding Scale Membership,https://pyfound.blogspot.com/2022/12/introducing-new-sliding-scale-membership.html
1,2022-12-06,"Python 3.11.1, 3.10.9, 3.9.16, 3.8.16, 3.7.16, and 3.12.0 alpha 3 are now available",https://pythoninsider.blogspot.com/2022/12/python-3111-3109-3916-3816-3716-and.html
2,2022-11-23,Where is the PSF?,https://pyfound.blogspot.com/2022/11/where-is-psf.html
3,2022-11-15,Python 3.12.0 alpha 2 released,https://pythoninsider.blogspot.com/2022/11/python-3120-alpha-2-released.html
4,2022-11-07,It's time for our annual year-end PSF fundraiser and membership drive ðŸŽ‰,https://pyfound.blogspot.com/2022/11/its-time-for-our-annual-year-end-psf.html
5,2022-12-17,Python Pizza HolguÃ­n,https://www.python.org/events/python-user-group/1389/
6,2022-12-21,An Introduction to Model Drift - PyLadies Amsterdam,https://www.python.org/events/python-user-group/1385/
7,2022-12-27,XtremePython 2022,https://www.python.org/events/python-events/1396/
8,2023-01-18,Python Meeting DÃ¼sseldorf,https://www.python.org/events/python-user-group/1322/
9,2023-02-16,PyConFr 2023,https://www.python.org/events/python-events/1392/
